"NUMEROPROCESSO","ANOPROCESSO","NUMEROMODALIDADE","LICITANTES","LICITANTES_VENCEDORES","NOMENATUREZA","NOMEMODALIDADE","SITUACAOLICITACAO","ESTAGIOLICITACAO","DATAPUBLICACAOHOMOLOGACAO","DATAEMISSAOEDITAL","DATAPUBLICACAOHABILITACAO","TOTALADJUDICADOLICITACAO","VALORESTIMADO","UNIDADEGESTORA","UNIDADE_GESTORA","DESCRICAOOBJETO","ESPECIFICACAOOBJETO","CARACTERISTICAOBJETO","ULTIMAATUALIZACAO","OBJETO"
"12","2022","1","Barbosa & Couto Advogados Associados: 09186210000190 - Vencedor; ","Barbosa & Couto Advogados Associados: 09186210000190; ","Outros Serviços","Inexigibilidade","Concluído","Processo Adjudicado / Homologado / Ratificado","08/11/2022","03/11/2022","","53940","54900","4","","SERVIÇOS TECNICOS ESPECIALIZADOS - ADVOCACIA","A CONTRATAÇÃO DE SERVIÇOS ADVOCATÍCIOS PARA A DEFESA DE CAUSAS TRABALHISTAS, CÍVEIS, DE DIREITO PÚBLICO, ELABORAÇÃO DE PARECERES E AFINS. ","Por Itens","11/11/2022","Contratação de Escritório de Advocacia Especializado para prestação de Assessoria e Consultoria Jurídica a Autarquia Educacional Artur Barbosa Maciel AEB Belo Jardim/PE, nas áreas de Direito Financeiro, Administrativo e Civil, atuando nas instâncias administrativa e judicial, com ênfase no suporte jurídico consultivo, bem como podendo executar os serviços jurídicos no que se refere a Autarquia Educacional."
"10","2022","4","","","Compras","Pregão Eletrônico","Processo Deserto","Edital Publicado","","01/12/2022","","","2311.2","4","","SERVIÇO DE LOCAÇÃO DE SOFTWARES","SERVIÇOS DE ALUGUEL DE SOFTWARES OU PROGRAMAS DE COMPUTADOR, TAIS COMO: SOFTWARES DE PRATELEIRA, SISTEMAS APLICATIVOS OU COMERCIAIS, SISTEMAS OPERACIONAIS, UTILITÁRIOS, LICENÇAS DE USO, PROPRIEDADE INTELECTUAL, ETC.","Por Itens","06/12/2022","SERVIÇO DE LICENÇA PELO USO DE SOFTWARE ANTIVÍRUS KASPERSKY"
"9","2022","3","","","Compras","Pregão Eletrônico","Concluído","Processo Adjudicado / Homologado / Ratificado","30/09/2022","14/09/2022","29/09/2022","33559.5","33712.69","4","","EQUIPAMENTOS DE INFORMÁTICA","AQUISIÇÃO DE APARELHOS E EQUIPAMENTOS DE INFORMÁTICA DE QUALQUER NATUREZA, EXCETO QUANDO FOR AQUISIÇÃO DE PEÇAS DESTINADAS À REPOSIÇÃO DIRETAMENTE AO EQUIPAMENTO OU MESMO PARA ESTOQUE, TAIS COMO:  COMPUTADOR DESKTOP/SERVIDOR, NOTEBOOK, TABLET, MONITOR DE VÍDEO, DATA SHOW, IMPRESSORA, SCANNER, FIREWALL, MODEM, ROTEADOR, SWITCH, PONTO DE ACESSO, STORAGE, KIT DE ROBÓTICA, URNA ELETRÔNICA E AFINS.","Por Itens","30/09/2022","EQUIPAMENTOS E MATERIAL DE INFORMÁTICA"
"8","2022","2","DIMEP COMÉRCIO E ASSISTÊNCIA TÉCNICA LTDA: 09095664000156 - Vencedor; TECNOPONTO TECNOLOGIA AVANCADA EM CONTROLE DE PONTO E ACESSO LTDA - EPP: 77800407000128 - Não Vencedor; ","DIMEP COMÉRCIO E ASSISTÊNCIA TÉCNICA LTDA: 09095664000156; ","Compras","Pregão Eletrônico","Concluído","Processo Adjudicado / Homologado / Ratificado","24/08/2022","08/07/2022","24/08/2022","2904","3393","4","","MÁQUINAS E EQUIPAMENTOS DE ESCRITÓRIO","TODAS AS MÁQUINAS, APARELHOS E UTENSÍLIOSUTILIZADOS EM ESCRITÓRIO E DESTINADOS AO AUXÍLIO DO TRABALHO ADMINISTRATIVO, TAIS COMO:APARELHO ROTULADOR, APONTADOR FIXO (DE MESA), CAIXA REGISTRADORA, CARIMBO DIGITADOR DE METAL, COMPASSO, ESTOJO PARA DESENHO, GLOBO TERRESTRE, GRAMPEADOR (EXCETO DE MESA), MÁQUINA AUTENTICADORA, MÁQUINA DE CALCULAR, MÁQUINA DE CONTABILIDADE, MÁQUINA DE ESCREVER, MÁQUINA FRANQUEADORA, NORMÓGRAFO, PANTÓGRAFO, QUEBRA-LUZ (LUMINÁRIA DE MESA), RÉGUA DE PRECISÃO, RÉGUA T, RELÓGIO PROTOCOLADOR E AFINS.","Por Itens","18/07/2022","Registrador eletrônico de ponto sem impressora, leitor Biométrico digital para 1000 digitais com Wi-Fi. O Registrador Eletrônico de Ponto deverá ser utilizado exclusivamente por este órgão público para o registro de ponto.  O equipamento deverá ser constituído em gabinete monolítico injetado com ABS de alta resistência, possuir pictograma orientativo para indicação de marcação do ponto e emitir sinal sonoro para indicação de marcação do ponto. O relógio do equipamento deve possuir precisão de 1 minuto ao ano, disponibilizando programação do horário de verão e calendário perpétuo. O Registro do ponto no equipamento deve ocorrer através de leitor biométrico digital, digitação do PIS ou CPF ou Matrícula de Servidores Públicos ou funcionários de empresas terceirizadas. Deve possuir sistema de detecção que bloqueia o funcionamento do equipamento em caso de tentativa de violação. Conter bateria interna que deverá manter a data e o horário por até 60 dias na falta de energia elétrica. Possuir"
"7","2022","1","JOSEMARCIA GOMES DA SILVA: 19771678000104 - Vencedor; VIVA DISTRIBUIDORA DE PRODUTOS LTDA - ME: 20008831000117 - Não Vencedor; ","JOSEMARCIA GOMES DA SILVA: 19771678000104; ","Compras","Pregão Eletrônico","Concluído","Processo Adjudicado / Homologado / Ratificado","15/06/2022","15/06/2022","15/06/2022","3700","6124","4","","MOBILIÁRIO EM GERAL","MÓVEIS DESTINADOS AO USO OU DECORAÇÃO INTERIOR DE AMBIENTES, TAIS COMO:ABAJUR, APARELHO PARA APOIAR OS BRAÇOS, ARMÁRIO, ARQUIVO DE AÇO OU MADEIRA, BALCÃO (TIPO ATENDIMENTO), BANCO, BANQUETA, BASE PARA MASTRO, CADEIRA, CAMA, CARRINHOFICHÁRIO, CARTEIRA E BANCO ESCOLAR, CHARTER NEGRO, CINZEIRO COM PEDESTAL, CRIADO-MUDO, CRISTALEIRA, ESCRIVANINHA, ESPELHO MOLDURADO, ESTANTE DE MADEIRA OU AÇO, ESTOFADO, FLIPSHARTER, GUARDA-LOUÇA, GUARDA ROUPA, MAPOTECA, MESA, PENTEADEIRA, POLTRONA, PORTA-CHAPÉUS, PRANCHETA PARA DESENHO, QUADRO DE CHAVES, QUADRO IMANTADO, QUADRO  PARA EDITAIS E AVISOS, RELÓGIO DE MESA/PAREDE/PONTO, ROUPEIRO, SOFÁ, SUPORTE PARA TV E VÍDEO, SUPORTE PARA BANDEIRA (MASTRO), VITRINE E AFINS.","Por Itens","15/07/2022","Cadeira bistrô em Polipropileno Branco, empilhável. Tipo: sem Braço. Capacidade de até 154Kg. Altura 89 CM, Largura 44CM, Comprimento 52 CM e peso 2,2KG."
"3","2022","3","WCR COMÉRCIO E SERVIÇOS DE INFORMÁTICA                                       : 41033521000122 - Vencedor; ","WCR COMÉRCIO E SERVIÇOS DE INFORMÁTICA                                       : 41033521000122; ","Compras","Pregão Eletrônico","Em Andamento","Edital Publicado","","14/09/2022","","","33712.69","4","","EQUIPAMENTOS DE INFORMÁTICA","AQUISIÇÃO DE APARELHOS E EQUIPAMENTOS DE INFORMÁTICA DE QUALQUER NATUREZA, EXCETO QUANDO FOR AQUISIÇÃO DE PEÇAS DESTINADAS À REPOSIÇÃO DIRETAMENTE AO EQUIPAMENTO OU MESMO PARA ESTOQUE, TAIS COMO:  COMPUTADOR DESKTOP/SERVIDOR, NOTEBOOK, TABLET, MONITOR DE VÍDEO, DATA SHOW, IMPRESSORA, SCANNER, FIREWALL, MODEM, ROTEADOR, SWITCH, PONTO DE ACESSO, STORAGE, KIT DE ROBÓTICA, URNA ELETRÔNICA E AFINS.","Por Itens","16/09/2022","EQUIPAMENTOS E MATERIAL DE INFORMÁTICA"
"1","2022","1","GALINDO & SOUZA ADVOGADOS ASSOCIADOS: 15171710000151 - Vencedor; MARCO AURELIO MARTINS - SOCIEDADE INDIVIDUAL DE ADVOCACIA: 39420683000171 - Não Vencedor; HENRIQUE LOURENÇO SOCIEDADE INDIVIDUAL DE ADVOGACIA: 40490308000187 - Não Vencedor; ","GALINDO & SOUZA ADVOGADOS ASSOCIADOS: 15171710000151; ","Outros Serviços","Dispensa","Concluído","Processo Adjudicado / Homologado / Ratificado","07/01/2022","04/01/2022","","54000","54000","3","","CONSULTORIA","ABRANGE A ELABORAÇÃO DE ESTUDOS, PROJETOS, ORIENTAÇÃO TÉCNICA, FISCALIZAÇÃO, LAUDOS, AVALIAÇÕES, PERÍCIAS E AFINS.","Integral sem Itens","03/01/2023","PRESTAÇÃO DE SERVIÇOS DE ASSESSORIA JURÍDICA CONTENCIOSA EM FAVOR DO BELO JARDIM - PREV, ENGLOBANDO: A REPRESENTAÇÃO JUDICIAL DO RPPS; HABILITAÇÃO E ACOMPANHAMENTO DOS PROCESSOS JÁ EXISTENTES DO RPPS ATÉ O TRÂNSITO EM JULGADO; ELABORAÇÃO DE DEFESAS, RECURSOS E DEMAIS ATOS JUDICIAIS EM PROCESSOS NOVOS EM QUE O RPPS SEJA PARTE, COM ACOMPANHAMENTO ATÉ TRÂNSITO EM JULGADO; PARTICIPAÇÃO EM AUDIÊNCIAS DE INSTRUÇÃO E CONCILIAÇÃO; E PARTICIPAÇÃO EM REUNIÕES, AUDIÊNCIAS PÚBLICAS E CONGÊNERES CONVOCADAS PELOS ÓRGÃOS DE CONTROLE, PELA GESTÃO E/OU PELO MINISTÉRIO PÚBLICO, PELO PRAZO DE 12 (DOZE) MESES, CONFORME ESPECIFICAÇÕES CONSTANTES NO PROJETO BÁSICO (ANEXO I)."
"2002","2022","2001","MERCADINHO PADRE CICERO: 19698039000152 - Vencedor; SERGIO FERREIRA DA SILVA 04152513462: 22083772000177 - Vencedor; JOSE OSVALDO DA SILVA MORAES 68904045487: 26804954000140 - Vencedor; WOUNEY MARTINS DE ARAUJO 03330609460: 36557356000178 - Vencedor; DOMINGOS BARBOSA DO NASCIMENTO 07553252492: 43504527000166 - Vencedor; IVANILDO TERTULIANO DA SILVA 16314382807: 43787228000186 - Vencedor; ELIAS TRANSPORTE: 43802788000162 - Vencedor; ARINO NOGUEIRA DOS SANTOS: 43804580000182 - Vencedor; JOSE ERIVAN DE ANDRADE 07005648455: 43871087000185 - Vencedor; SEBASTIAO SEVERINO DA SILVA 07105857480: 43905582000168 - Vencedor; JOSE ADJAR DOS SANTOS 05058666413: 43940985000148 - Vencedor; JOSE EZEQUIEL DOS SANTOS 07414260488: 43999543000177 - Vencedor; JAMERSON TRANSPORTES: 44696008000100 - Vencedor; JOAO FERREIRA DOS SANTOS 53821629568: 44796086000186 - Não Vencedor; ","MERCADINHO PADRE CICERO: 19698039000152; SERGIO FERREIRA DA SILVA 04152513462: 22083772000177; JOSE OSVALDO DA SILVA MORAES 68904045487: 26804954000140; WOUNEY MARTINS DE ARAUJO 03330609460: 36557356000178; DOMINGOS BARBOSA DO NASCIMENTO 07553252492: 43504527000166; IVANILDO TERTULIANO DA SILVA 16314382807: 43787228000186; ELIAS TRANSPORTE: 43802788000162; ARINO NOGUEIRA DOS SANTOS: 43804580000182; JOSE ERIVAN DE ANDRADE 07005648455: 43871087000185; SEBASTIAO SEVERINO DA SILVA 07105857480: 43905582000168; JOSE ADJAR DOS SANTOS 05058666413: 43940985000148; JOSE EZEQUIEL DOS SANTOS 07414260488: 43999543000177; JAMERSON TRANSPORTES: 44696008000100; ","Locação de Bens","Pregão Presencial","Concluído","Processo Adjudicado / Homologado / Ratificado","18/02/2022","24/01/2022","18/02/2022","559734","961784.21","1","","SERVIÇOS DE TRANSPORTE DE PASSAGEIROS","CONTRATAÇÃO DE VEÍCULOS COM MOTORISTA PARA TRANSPORTE DE SERVIDORES, TRANSPORTE ESCOLAR, FISCALIZAÇÃO E PARA OUTRAS FINALIDADES DA ADMINISTRAÇÃO.","Por Itens","04/07/2022","O objeto da presente licitação é a Contratação de microempreendedor individual para prestação de serviços de Transporte Escolar para estudantes da Rede Pública de Ensino, localizados na zona rural, visando atender as rotas fracassadas do pregão presencial 1/2022 e as necessidades da Secretaria de Educação e Tecnologia do Município de Belo Jardim, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos."
"142","2022","95","","","Compras","Pregão Eletrônico","Em Andamento","Edital Publicado","","29/12/2022","","","144041.49","1","","EQUIPAMENTOS PARA ÁUDIO, VÍDEO E FOTO","AQUISIÇÃO DE EQUIPAMENTOS DE FILMAGEM, GRAVAÇÃO E REPRODUÇÃO DE SONS E IMAGENS, BEM COMO OS ACESSÓRIOS DE DURABILIDADE SUPERIOR A DOIS ANOS, TAIS COMO:                                                                                                                               AMPLIFICADOR DE SOM, CAIXA ACÚSTICA, DATA SHOW, ELETROLA, EQUALIZADOR DE SOM, FILMADORA, FLASH ELETRÔNICO, FONE DE OUVIDO, GRAVADOR DE SOM, MÁQUINA FOTOGRÁFICA, MICROFILMADORA, MICROFONE, OBJETIVA, PROJETOR, RÁDIO, REBOBINADORA, RETRO-PROJETOR,  SINTONIZADOR DE SOM, TANQUES PARA REVELAÇÃO DE FILMES, TAPE-DECK, TELEVISOR, TELA PARA PROJEÇÃO, TOCA-DISCOS, VÍDEO-CASSETE E AFINS.                                                                                                                                                                                  ","Por Itens","06/01/2023","O objeto da presente licitação é o registro de preços para eventual aquisição de Equipamentos de Som e divulgação, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos."
"140","2022","94","","","Outros Serviços","Pregão Presencial","Em Andamento","Edital Publicado","","13/01/2023","","","4026419.83","1","","SERVIÇOS BANCÁRIOS","SERVIÇOS PRESTADOS POR BANCOS E OUTRAS INSTITUIÇÕES FINANCEIRAS TAIS COMO: RECEBIMENTO DE TRIBUTOS, PAGAMENTO DE FOLHA DE PESSOAL, PAGAMENTO DE FORNECEDORES E AFINS.","Por Itens","27/01/2023","O objeto da presente licitação é a contratação de instituição financeira, autorizada pelo Banco Central do Brasil, para operacionalização do pagamento da folha de salários dos servidores municipais ativos (efetivos, comissionados, contratados e estagiários) e inativos (aposentados e pensionistas) para atender o Poder Executivo do Município de Belo Jardim ? PE, assim como a cessão de uso de uma área nas dependências da prefeitura para funcionamento de serviços bancários, quantidades e exigências estabelecidas neste Edital e seus anexos."
